Arquivo|indicacao|indication|ATC_1|ATC_2|ATC_3|ATC_4
bula1657|ACECLOFENACO está indicado para o tratamento de processos álgicos e inflamatórios tais como dores de dente, traumatismos, mialgias ex lombares, dores agudas pós-cirúrgicas pós-episiotomia, após extração dentária, periartrite do ombro, reumatismos extra-articulares transtornos dos tecidos moles. Também é eficaz no tratamento crônico de processos inflamatórios como artrite reumatoide, osteoartrose e espondilite anquilosante.|ACECLOPHENACO is indicated for the treatment of painful and inflammatory processes such as toothaches, traumas, Myalgias Ex Postsurgical post-episiotomy acute pain after tooth extraction, Periarthritis Shoulder, rheumatism Extra-articular Soft tissue disorders. It is Also effective in the chronic treatment of inflammatory processes such as rheumatoid arthritis, osteoarthrosis and ankylosing spondylitis.|M|M01|M01A|M01A1
bula1206|LFM-BROMEXINA é indicado como secretolítico e expectorante no tratamento de doenças broncopulmonares agudas e crônicas associadas a secreção mucosa anormal e transtornos do transporte mucoso.|LFM-BROMEXIN is indicated as secretolytic and expectorant in the treatment of acute and chronic bronchopulmonary diseases associated with abnormal mucosal secretion and disorders of mucosal transport.|R|R05|R05C|R05C0
bula5235|O brometo de ipratrópio solução gotas para nebulização é indicado como broncodilatador para o tratamento de manutenção do broncoespasmo associado à doença pulmonar obstrutiva crônica DPOC, que inclui bronquite crônica e enfisema. O brometo de ipratrópio solução gotas para nebulização também é indicado em combinação com medicação beta-2-agonista no tratamento do broncoespasmo agudo associado à asma e doença pulmonar obstrutiva crônica DPOC, incluindo bronquite crônica.|Ipratropium bromide Solution drops for nebulization is indicated as a bronchodilator for the maintenance treatment of bronchospasm associated with chronic obstructive pulmonary disease COPD, which includes chronic bronchitis and emphysema. Ipratropium bromide Solution drops for nebulization is also indicated in combination with beta-2-agonist medication in the treatment of acute bronchospasm associated with asthma and chronic obstructive pulmonary disease COPD, including chronic bronchitis.|R|R03|R03K|R03K1
bula4382|Este medicamento é destinado ao tratamento de - edemas devido a doenças cardíacas e doenças hepáticas ascite - edemas devido a doenças renais na síndrome nefrótica, a terapia da doença causal tem prioridade - insuficiência cardíaca aguda, especialmente no edema pulmonar administração conjunta com outras medidas terapêuticas - eliminação urinária reduzida devido à gestose após restauração do volume de líquidos ao normal - edemas cerebrais como medida de suporte - edemas devido a queimaduras - crises hipertensivas em adição a outras medidas anti-hipertensivas - indução de diurese forçada em envenenamentos.|This medicine is intended for the treatment of-edema due to heart disease and hepatic diseases ascites-edema due to renal diseases in nephrotic syndrome, the therapy of the causal disease has priority-acute heart failure, especially in the edema Pulmonary joint administration with other therapeutic measures-reduced urinary elimination due to gestosis after restoration of fluid volume to normal-brain edema as a support-edema measure due to burns-hypertensive crises in addition to other measures antihypertensive-induction of forced diuresis in Poisings.|C|C03|C03A|C03A2
bula3128|O cetoconazol shampoo é indicado para tratamento de dermatite seborreica do couro cabeludo em adultos.|Ketoconazole Shampoo is indicated for the treatment of seborrheic dermatitis of the scalp in adults.|D|D01|D01A|D01A3
bula6194|Este medicamento é indicado, em adultos, para a redução da febre e o alívio temporário de dores leves a moderadas, tais como dores associadas a resfriados comuns, dor de cabeça, dor no corpo, dor de dente, dor nas costas, dores musculares, dores leves associadas a artrites e dismenorreia. Em bebês e crianças é indicado para a redução da febre e para o alívio temporário de dores leves a moderadas, tais como dores associadas a gripes e resfriados comuns, dor de cabeça, dor de dente, dor de garganta.|This medicine is indicated, in adults, for the reduction of fever and the temporary relief of mild to moderate pain, such as pain associated with common coladas, headache, body pain, toothache, back pain, muscular pain, mild pain associated with Arthritis and Dysmenorrhoea. In Infants and children It is indicated for the reduction of fever and for the temporary relief of mild to moderate pain, such as pains associated with common flu and colds, headache, toothache, sore throat.|N|N02|N02B|N02B2
bula7685|Mania divalproato de sódio é indicado para o tratamento de episódios de mania agudos ou mistos associados com transtornos afetivos bipolares. Um episódio de mania é um período distinto de humor anormalmente e persistentemente elevado, expansivo ou irritável. Os sintomas típicos de mania incluem taquilalia, hiperatividade motora, redução da necessidade de dormir, fuga de ideias, grandiosidade, prejuízo da crítica, agressividade e possível hostilidade. A eficácia do divalproato de sódio foi estabelecida em estudos de três semanas com pacientes que se enquadravam nos critérios da DSM-III para transtorno afetivo bipolar que foram hospitalizados com diagnóstico de mania. A segurança e eficácia de divalproato de sódio durante uso prolongado em mania, isto é, mais do que três semanas, não foram sistematicamente avaliadas nos estudos clínicos controlados. Portanto, os médicos que optam pelo uso de divalproato de sódio por períodos extensos deverão reavaliar continuamente a utilidade a longo prazo do medicamento para cada paciente. Epilepsia divalproato de sódio é indicado como monoterápico ou como terapia adjuvante ao tratamento de pacientes adultos e crianças acima de 10 anos com crises parciais complexas, que ocorrem tanto de forma isolada ou em associação com outros tipos de crises. Divalproato de sódio também é destinado como monoterápico ou como terapia adjuvante no tratamento de quadros de ausência simples e complexa em pacientes adultos e crianças acima de 10 anos, e como terapia adjuvante em pacientes adultos e crianças acima de 10 anos com crises de múltiplos tipos, que inclui crises de ausência. Ausência simples é definida como breve obscurecimento sensorial ou perda de consciência, acompanhada de um certo número de descargas epilépticas generalizadas, sem outros sinais clínicos detectáveis. A ausência complexa é a expressão utilizada quando outros sinais também estão presentes. Profilaxia da Migrânea Enxaqueca Divalproato de sódio é indicado na profilaxia de enxaquecas. Não existe evidência de que o divalproato de sódio seja útil no tratamento agudo da enxaqueca. Uma vez que o ácido valproico pode ser perigoso para o feto, divalproato de sódio não deve ser considerado para mulheres em idade fértil a não ser que o medicamento seja essencial para o gerenciamento da sua condição médica. Divalproato de sódio é contraindicado para o uso na profilaxia de enxaquecas por mulheres grávidas.|Sodium divalproate Mania is indicated for the treatment of episodes of acute or mixed mania associated with bipolar affective disorders. An episode of Mania is a distinct period of humor abnormally and persistently elevated, expansive or irritable. The Typical symptoms of mania include taquilalia, motor hyperactivity, reduced need for sleep, escape of ideas, grandeur, impairment of criticism, aggressiveness and possible hostility. The efficacy of sodium divalproate was established in three-week studies with patients who fit the DSM-III criteria for bipolar affective disorder who were hospitalized with a diagnosis of mania. The Safety and efficacy of sodium divalproate during prolonged use in mania, i.e. more than three weeks, have not been systematically evaluated in controlled clinical studies. Therefore, physicians who opt for the use of sodium divalproate for extensive periods should continually reevaluate the long-term usefulness of the medication for each patient. Sodium Divalproate Epilepsy is indicated as monotherapic or as adjuvant therapy for the treatment of adult patients and children over 10 years with complex partial seizures, occurring either in isolation or in association with other types of crises. Sodium Divalproate is also intended as monotherapic or as adjuvant therapy in the treatment of simple and complex absence of cases in adult patients and children over 10 years, and as adjuvant therapy in adult patients and children over 10 years with Crises of multiple types, which includes crises of absence. Simple Absence is defined as a brief sensory obscuration or loss of consciousness, accompanied by a certain number of generalized epileptic discharges, without other detectable clinical signs. The complex absence is the expression used when other signs are also present. Prophylaxis of Migraine Migraines Divalproate sodium is indicated in the prophylaxis of migraine headaches. There is No evidence that sodium divalproate is useful in the acute treatment of migraine. Since valproic acid can be hazardous to the fetus, sodium divalproate should not be considered for women of childbearing age unless the medicine is essential for the management of your medical condition. Sodium Divalproate is contraindicated for use in the prophylaxis of migraines by pregnant women.|N|N03|N03A|N03A0
bula7|Este medicamento é destinado ao tratamento de dor, febre e inflamação. É utilizado no alívio sintomático de gripes e resfriados. Como analgésico é utilizado nas cefaléias, dores musculares, sinusites, neuralgias e dores de dente. Como antiinflamatório é utilizado na artrite e outras condições reumáticas.|This Medicine is intended for the treatment of pain, fever and inflammation. It is used in the symptomatic relief of flu and colds. As an analgesic it is used in Headaches, muscle aches, sinusitis, neuralgia and toothaches. As Anti-inflammatory is used in arthritis and other rheumatic conditions.|N|N02|N02B|N02B2
bula1014|Raloxifeno é indicado para prevenção e tratamento da osteoporose em mulheres após a menopausa e também para a redução do risco de câncer de mama em mulheres na pós-menopausa com osteoporose. A incidência de fraturas vertebrais foi significantemente reduzida. Embora a redução na incidência de fraturas não vertebrais não seja significante, o risco de fraturas não vertebrais diminui com o aumento da exposição ao raloxifeno. No momento de escolher entre o tratamento com raloxifeno ou com outras terapias para mulher após a menopausa, deve-se levar em conta os sintomas da menopausa, os efeitos sobre os tecidos mamário e uterino e os riscos e benefícios cardiovasculares.|Raloxifene is indicated for the prevention and treatment of osteoporosis in women after menopause and also for the reduction of the risk of breast cancer in postmenopausal women with osteoporosis. The incidence of vertebral fractures was significantly reduced. Although the reduction in the incidence of non-vertebral fractures is not significant, the risk of non-vertebral fractures decreases with increased exposure to raloxifene. When choosing between treatment with raloxifene or other therapies for women after menopause, one should take into account the symptoms of menopause, the effects on breast and uterine tissues and the risks and cardiovascular benefits.|G|G03|G03J|G03J0
bula3179|O cloridrato de dorzolamida solução oftálmica é indicado para o tratamento da pressão intraocular PIO elevada em caso de - Hipertensão ocular - Glaucoma de ângulo aberto - Glaucoma pseudo-esfoliativo e outros glaucomas secundários de ângulo aberto - Como terapia adjuvante juntamente a betabloqueadores - Como monoterapia em pacientes que não respondem aos betabloqueadores ou pacientes para os quais os betabloqueadores são contraindicados.|Dorzolamide Hydrochloride Ophthalmic solution is indicated for the treatment of elevated IOP intraocular pressure in case of-ocular hypertension-open-angle glaucoma-pseudo-esfoliativo glaucoma and other open-angle secondary glaucoma-as therapy Adjuvant coupled with beta-blockers-As monotherapy in patients who do not respond to beta-blockers or patients for whom beta-blockers are contraindicated.|S|S01|S01E|S01E2
bula2345|Glimepirida é indicada para o tratamento oral de diabetes mellitus não insulino-dependente Tipo 2 ou diabetes do adulto, quando os níveis de glicose não podem ser adequadamente controlados por meio de dieta alimentar, exercícios físicos e redução de peso. Glimepirida pode ser associada a outros antidiabéticos orais que não estimulam a secreção de insulina. Glimepirida pode ser associada a metformina quando os níveis glicêmicos não podem ser adequadamente controlados por meio de dieta alimentar, exercícios físicos e uso de glimepirida ou metformina em monoterapia. Glimepirida também pode ser utilizada em associação com insulina vide Posologia.|Glimepiride is indicated for oral treatment of non-diabetic diabetes mellitus. Insulino-dependent Type 2 or adult diabetes, when glucose levels cannot be adequately controlled by means of dietary diet, physical exercises and weight reduction. Glimepirida may be associated with other oral antidiabetics that do not stimulate insulin secretion. Glimepirida may be associated with metformin when glycemic levels cannot be adequately controlled by means of dietary diet, physical exercise and use of Glimepirida or metformin monotherapy. Glimepirida can also be used in combination with insulin vide Posology.|A|A10|A10H|A10H0
bula2936|Vagi Cr é indicado para normalizar a flora vaginal em desequilíbrio. Indicado principalmente para pacientes que apresentam repetidas alterações da flora vaginal e têm tendência de sofrer por colpite.|Vaci Cr is indicated to normalize the vaginal flora in imbalance. Indicated mainly for patients who present repeated alterations of the vaginal flora and tend to suffer from colpite.|G|G02|G02X|G02X9
bula5949|O maleato de dexclorfeniramina  betametasona é indicado no tratamento adjuvante de doenças alérgicas do aparelho respiratório, como asma brônquica grave e rinite alérgica nas afecções alérgicas cutâneas, como dermatite atópica, dermatite de contato, reações medicamentosas e doença do soro, e nas afecções alérgicas inflamatórias oculares, como ceratites, irite não granulomatosa, coriorretinite, iridociclite, coroidite, conjuntivite e uveíte. Nestas afecções oculares, o maleato de dexclorfeniramina  betametasona inibe as fases exsudativa e inflamatória, contribuindo para preservar a integridade funcional do globo ocular, enquanto o tratamento da infecção ou de distúrbio por outra causa seja iniciado com terapia específica.|Dexchlorpheniramine Betamethasone Maleate is indicated for the adjuvant treatment of allergic diseases of the respiratory tract, such as severe bronchial asthma and allergic rhinitis in cutaneous allergic disorders such as atopic dermatitis, contact dermatitis, reactions and serum diseases, and in ocular inflammatory allergic disorders such as keratitis, non-granulomatous iritis, Chorioretinitis, Iridocyclitis, choroidal, conjunctivitis and uveitis. In These ocular affections, the Dexchlorpheniramine betamethasone maleate inhibits the exudative and inflammatory phases, contributing to preserve the functional integrity of the eyeball, while the treatment of infection or disturbance by another cause is initiated With specific therapy.|H|H02|H02B|H02B0
bula5040|Xantinonr é indicado para auxiliar ajudar no tratamento dos distúrbios hepáticos.|XANTINONR is indicated to assist in the treatment of liver disorders.|A|A05|A05B|A05B0
bula4269|Contraceptivo oral, com efeitos antimineralocorticoide e antiandrogênico que beneficiam tanto as mulheres que apresentam retenção de líquido de origem hormonal e seus sintomas, como as que apresentam acne e seborreia.|Oral Contraceptive, with antimineralocorticoid and anti-androgenic effects that benefit both women who have fluid retention of hormonal origin and their symptoms, such as those presenting acne and seborrhea.|G|G03|G03A|G03A1
bula657|NAXOTEC é indicado  para o alívio de estados dolorosos agudos, nos quais existe um componente inflamatório como, por exemplo, dor de garganta  uso analgésico e antipirético em adultos, inclusive para mães que não estejam amamentando no pós-parto por exemplo, dor de dente, dor abdominal e pélvica, sintomas da gripe e resfriado, febre  condições periarticulares e musculoesqueléticas, como por exemplo, torcicolo, mialgia dor muscular, bursite, tendinite, sinovite, tenosinovite, lombalgia dor nas costas, artralgia, dor na perna, cotovelo do tenista  reumatopatias artrite reumatoide, osteoartrite, espondilite anquilosante, gota, artrite reumatoide juvenil  dismenorreia  tratamento e profilaxia de enxaqueca, cefaleia dor de cabeça  após cirurgias, inclusive ortopédicas e extrações dentárias  condições pós-traumáticas entorses, distensões, contusões, dor decorrente da prática esportiva.|NAXOTEC is indicated for the relief of acute painful states, in which there is an inflammatory component such as sore throat analgesic and antipyretic use in adults, including for mothers who are not breastfeeding in the postpartum for example, pain of Tooth, abdominal and pelvic pain, flu and cold symptoms, fever periarticular and musculoskeletal conditions, such as torticollis, myalgia muscle pain, bursitis, tendinitis, Synovitis, Tenoinovite, backache back pain, arthralgia, pain in Leg, tennis elbow rheumatopathies rheumatoid arthritis, osteoarthritis, ankylosing spondylitis, gout, juvenile rheumatoid arthritis dysmenorrhoea treatment and prophylaxis of migraine headaches, headache after surgeries, including orthopedic and Dental extractions post-traumatic conditions sprains, distensions, bruises, pain resulting from sports practice.|M|M01|M01A|M01A1
bula2169|Insuficiência cardíaca Digoxina é indicada no tratamento da insuficiência cardíaca congestiva quando o problema dominante é a disfunção sistólica. Nesse caso, o benefício terapêutico é maior nos pacientes com dilatação ventricular. Digoxina é indicada especificamente quando a insuficiência cardíaca é acompanhada de fibrilação atrial. Arritmia supraventricular Digoxina também é indicada no tratamento de certas arritmias supraventriculares, particularmente fibrilação ou flutter atrial crônicos.|Digoxin Heart Failure is indicated for the treatment of congestive heart failure when the dominant problem is systolic dysfunction. In This case, the therapeutic benefit is higher in patients with ventricular dilatation. Digoxin is indicated specifically when heart failure is accompanied by atrial fibrillation. Supraventricular Arrhythmia Digoxin is also indicated for the treatment of certain supraventricular arrhythmias, particularly fibrillation or Flutter Chronic atrial fibrillation.|C|C01|C01A|C01A1
bula7694|específica são as náuseas e vômitos induzidos pelos agonistas dopaminérgicos usados no tratamento da Doença de Parkinson como a L-dopa e bromocriptina.|Specific are nausea and vomiting induced by dopaminergic agonists used in the treatment of Parkinson's Disease such as L-Dopa and Bromocriptine.|A|A03|A03F|A03F0
bula4271|O DROXY dicloridrato de hidroxizina Comprimido é um auxiliar no tratamento do prurido causado por condições alérgicas da pele, tais como urticária, dermatite atópica e de contato, e do prurido decorrente de outras doenças sistêmicas.|The DROXY Dihydrochloride of Hydroxytamine Tablet is an auxiliary in the treatment of pruritus caused by allergic skin conditions such as urticaria, atopic dermatitis and contact, and pruritus resulting from other systemic diseases.|R|R06|R06A|R06A0
bula6699|Este medicamento é indicado para o aporte de vitaminas correspondentes às necessidades diárias dos adultos e crianças acima de 11 anos, em situações que necessitem de uma suplementação de vitaminas por via injetável, quando o aporte oral for contraindicado, impossível ou insuficiente desnutrição, má-absorção digestória, nutrição parenteral.|This Medicine is indicated for the intake of vitamins corresponding to the daily needs of adults and children over 11 years, in situations requiring an injectable vitamin supplementation, when oral intake is contraindicated, Inadequate or insufficient malnutrition, poor absorption, dighistory, parenteral nutrition.|A|A11|A11B|A11B4
bula5918|Hipertensão Losartana potássica  hidroclorotiazida é indicado para o tratamento da hipertensão quando a terapia combinada for apropriada. Redução do Risco de Morbidade e Mortalidade Cardiovasculares em Pacientes Hipertensos com Hipertrofia Ventricular Esquerda O medicamento é uma combinação de losartana e hidroclorotiazida. Em pacientes hipertensos e com hipertrofia ventricular esquerda, a losartana, frequentemente em combinação com a hidroclorotiazida, reduz o risco de morbidade e mortalidade cardiovasculares conforme avaliado pela incidência combinada de morte cardiovascular, acidente vascular cerebral e infarto do miocárdio em pacientes hipertensos com hipertrofia ventricular esquerda veja.|Hydrochlorotiazide Losartan Potassium is indicated for the treatment of hypertension when combined therapy is appropriate. Reduced Risk of Cardiovascular Morbidity and Mortality in Hypertensive Patients with Left Ventricular Hypertrophy The Drug is a combination of losartan and hydrochlorothiazide. In hypertensive patients with left ventricular hypertrophy, losartan, often in combination with hydrochlorothiazide, reduces the risk of cardiovascular morbidity and mortality as assessed by the combined incidence of death Cardiovascular, cerebrovascular accident and myocardial infarction in hypertensive patients with left ventricular hypertrophy see.|C|C09|C09D|C09D1
bula1222|Hipertensão Lorsar-HCTr é indicado para o tratamento da hipertensão quando a terapia combinada for apropriada. Redução do Risco de Morbidade e Mortalidade Cardiovasculares em Pacientes Hipertensos com Hipertrofia Ventricular Esquerda Lorsar-HCTr é uma combinação de losartana e hidroclorotiazida. Em pacientes hipertensos e com hipertrofia ventricular esquerda, a losartana, frequentemente em combinação com a hidroclorotiazida, reduz o risco de morbidade e mortalidade cardiovasculares conforme avaliado pela incidência combinada de morte cardiovascular, acidente vascular cerebral e infarto do miocárdio em pacientes hipertensos com hipertrofia ventricular esquerda veja.|Hypertension Lorsar-HCTr is indicated for the treatment of hypertension when combined therapy is appropriate. Reduced Risk of Cardiovascular Morbidity and Mortality in Hypertensive Patients with Left Ventricular Hypertrophy Lorsar-HCTr is a combination of losartan and hydrochlorothiazide. In hypertensive patients with left ventricular hypertrophy, losartan, often in combination with hydrochlorothiazide, reduces the risk of cardiovascular morbidity and mortality as assessed by the combined incidence of death Cardiovascular, cerebrovascular accident and myocardial infarction in hypertensive patients with left ventricular hypertrophy see.|C|C09|C09D|C09D1
bula5938|O maleato de dexclorfeniramina é indicado para alergia, prurido, rinite alérgica, urticária, picada de inseto, conjuntivite alérgica, dermatite atópica e eczemas alérgicos.|Dexchlorpheniramine Maleate is indicated for allergy, pruritus, allergic rhinitis, urticaria, insect bites, allergic conjunctivitis, atopic dermatitis and allergic eczema.|R|R06|R06A|R06A0
bula1418|NEO HIDROCLOR é destinado ao tratamento da hipertensão arterial, quer isoladamente ou em associação com outros fármacos anti-hipertensivos. Pode ser ainda utilizado no tratamento dos edemas associados com insuficiência cardíaca congestiva, cirrose hepática e com a terapia por corticosteroides ou estrógenos. Também é eficaz no edema relacionado a várias formas de disfunção renal, como síndrome nefrótica, glomerulonefrite aguda e insuficiência renal crônica.|NEO HIDROCLOR is intended for the treatment of arterial hypertension, either alone or in association with other antihypertensive drugs. It can also be used in the treatment of edema associated with congestive heart failure, hepatic cirrhosis and with corticosteroid therapy or estrogens. It is Also effective in edema related to various forms of renal dysfunction, such as nephrotic syndrome, acute glomerulonephritis and chronic renal failure.|C|C03|C03A|C03A3
bula2819|Como descongestionante nasal de uso tópico em resfriados, rinites, rinossinusites e também na eliminação de crostas nos quadros de pós-operatório.|As topical nasal decongant in Coles, Rinites, Rhinosinusitis and also in the elimination of crusts in the post-operative tables.|R|R01|R01A|R01A9
bula1018|cloridrato de terbinafina é indicado nos casos de Infecções fúngicas da pele causadas pelos dermatófitos, Trichophyton como T. rubrum, T.mentagrophytes, T. verrucosum, T. violaceum, Microsporum canis e Epidermophyton floccosum. Exemplos dessas infecções são a tinha pedis pé-de-atleta, a tinha cruris inguinal e a tinha corporis. Pitiríase tinha versicolor causada pelo Pityrosporum orbiculare também conhecido por Malassezia furfur. cloridrato de terbinafina creme também é indicado nos casos de infecções da pele causadas por leveduras, principalmente aquelas do gênero Candida por exemplo, candidíase cutânea causada pela Candida albicans.|Terbinapine hydrochloride is indicated in cases of fungal Infections of the skin caused by dermatophytes, Trichophyton as T. Rubrum, T. mentagrophytes, T. Verrucosum, T. Violaceum, Microsporum canis and Epidermophyton floccosum. Examples of these infections are the one with the athlete's foot, the inguinal cruris and the Corporis. Pityriasis had Versicolor caused by Pityrosporum Orbiculare also known as Malassezia Furfur. Terbinafine Hydrochloride Cream is also indicated in cases of skin infections caused by yeasts, especially those of the genus Candida eg, cutaneous candidiasis caused by Candida albicans.|D|D01|D01A|D01A1
bula2042|Concepnor levonorgestrel, etinilestradiol é indicado como contraceptivo oral e para o controle de irregularidades menstruais. Embora tendo eficácia bem estabelecida, há casos de gravidez em mulheres utilizando contraceptivos orais.|Concepnor Levonorgestrel, Estradiol is indicated as oral contraceptives and for the control of menstrual irregularities. Although having well-established efficacy, there are cases of pregnancy in women using oral contraceptives.|G|G03|G03A|G03A1
bula7042|Este medicamento é destinado ao tratamento de espasmos musculares associados com condições musculoesqueléticas agudas e dolorosas, como as lombalgias, torcicolos, periartrite escapuloumeral, cervicobraquialgias e no tratamento da fibromialgia. Além disso, é indicado como coadjuvante de outras medidas para o alívio dos sintomas, tais como fisioterapia e repouso.|This medicine is intended for the treatment of muscular spasms associated with acute and painful musculoskeletal conditions, such as Lumbalgias, Torticollis, Scapuloumeral Periarthritis, Cervicobrachialgias and in the treatment of Fibromyalgia. Moreover, it is indicated as an adjuvant of other measures for the relief of symptoms, such as physiotherapy and rest.|M|M03|M03B|M03B0
bula1|A pasta triancinolona acetonida é indicada para o tratamento auxiliar e para o alívio temporário de sintomas associados com lesões inflamatórias e lesões ulcerativas orais resultantes de trauma1. 1 CID K12 - Estomatite e lesões correlata.|The Triaminolone Paste Acetonide is indicated for the auxiliary treatment and for the temporary relief of symptoms associated with inflammatory lesions and oral ulcerative lesions resulting from trauma 1. 1 ICD K12-Stomatitis and correlates lesions.|A|A01|A01A|A01A3
bula5455|Corticortenr é indicado para o tratamento de várias doenças endócrinas, osteomusculares, reumáticas, do colágeno, dermatológicas, alérgicas, oftálmicas, respiratórias, hematológicas, neoplásicas e outras que respondam ao tratamento com corticosteroides. O tratamento corticosteroide hormonal é complementar à terapia convencional. Distúrbios endócrinos - insuficiência adrenocortical primária ou secundária em conjunto com mineralocorticoides, se necessário hiperplasia adrenal congênita, tireoidite não supurativa hipercalcemia associada a câncer. Distúrbios osteomusculares - como tratamento complementar para administração por curto período na artrite reumatoide para ajudar o paciente durante um episódio agudo ou exacerbação osteoartrite póstraumática ou sinovite artrite psoriática espondilite anquilosante artrite gotosa aguda bursite aguda e subaguda fibrosite epicondilite tenossinovite miosite. Doenças do colágeno - durante exacerbação ou como tratamento de manutenção em casos selecionados de lúpus eritematoso sistêmico cardite reumática aguda polimiosite e dermatomiosite. Doenças dermatológicas - Pênfigo dermatite bolhosa herpetiforme eritema multiforme grave síndrome de Stevens-Johnson dermatite esfoliativa micose fungoide psoríase grave dermatite seborreica grave. Distúrbios alérgicos - controle de condições alérgicas graves ou incapacitantes não tratáveis com terapia convencional, como rinite alérgica sazonal ou perene pólipo nasal asma brônquica incluindo estado de mal asmático dermatite de contato dermatite atópica neurodermatite reações medicamentosas ou por soro. Doenças oftálmicas - processos inflamatórios e alérgicos, agudos e crônicos, envolvendo os olhos e anexos, como conjuntivite alérgica ceratite úlcera alérgica marginal da córnea herpes-zoster oftálmico irite e iridociclite coriorretinite inflamação do segmento anterior uveíte posterior difusa e coroidite neurite óptica oftalmia do simpático. Doenças respiratórias - sarcoidose sintomática síndrome de Loeffler, sem resposta aos tratamentos convencionais beriliose tuberculose pulmonar disseminada ou fulminante, quando acompanhada por quimioterapia antituberculosa apropriada. Distúrbios hematológicos - trombocitopenia idiopática e secundária em adultos anemia hemolítica adquirida autoimune eritroblastopenia anemia hipoplástica congênita eritroide. Distúrbios neoplásicos - como medicação paliativa no tratamento de leucemias e linfomas em adultos e leucemia aguda em crianças. Estados edematosos - para induzir diurese ou remissão de proteinúria na síndrome nefrótica sem uremia, do tipo idiopático ou devida a lúpus eritematoso. Outros distúrbios - meningite tuberculosa com bloqueio ou iminência de bloqueio subaracnoide, quando acompanhada concomitantemente por quimioterapia antituberculosa apropriada.|Corticortenr is indicated for the treatment of various endocrine, musculoskeletal, rheumatic, collagen, dermatological, allergic, ophthalmic, respiratory, hematological, neoplastic and other diseases that respond to corticosteroid treatment . Hormonal corticosteroid treatment is complementary to conventional therapy. Endocrine Disorders-Primary or secondary adrenocortical insufficiency in conjunction with mineralocorticoids, if necessary congenital adrenal hyperplasia, thyroiditis not suppurative hypercalcemia associated with cancer. Musculoskeletal Disorders-as complementary treatment for short-term administration in rheumatoid arthritis to help the patient during an acute episode or exacerbation post-traumatic osteoarthritis or synovitis psoriatic arthritis Spondylitis Ankylosing Arthritis Gouty Acute bursitis acute and subacute fibrositis epicondylitis tenosynovitis myosite. Collagen Diseases-during exacerbation or as maintenance treatment in selected cases of systemic lupus erythematosus cardiote acute rheumatic polymyositis and dermatomyositis. Dermatological Diseases-Pemphigus dermatitis bullosa herpetiformis erythema multiforme Severe Stevens-Johnson syndrome exfoliative dermatitis mycosis fungoides Psoriasis Severe seborrheic dermatitis severe. Allergic Disorders-control of severe or disabling non-treatable allergic conditions with conventional therapy, such as seasonal allergic rhinitis or perennial nasal polyp bronchial asthma including state of ill asthmatic contact dermatitis atopic dermatitis Neurodermatitis or drug reactions by serum. Ophthalmic Diseases-inflammatory and allergic processes, acute and chronic, involving the eyes and attachments, such as conjunctivitis allergic keratitis Marginal allergic ulcer of the corneal herpes-zoster Ophthalmic iritis and Iridocyclitis chorioretinitis inflammation of the anterior segment posterior diffuse uveitis and Coroiditis optic neuritis Ophthalmomia of the sympathetic. Respiratory Diseases-Symptomatic sarcoidosis Loeffler syndrome, unresponsive to conventional treatments beriliosis disseminated or fulminant pulmonary tuberculosis, when accompanied by appropriate antituberculous chemotherapy. Hematological Disorders-Idiopathic and secondary thrombocytopenia in adults haemolytic anemia acquired autoimmune erythroblastopenia erythroid congenital hypoplastic anemia. Neoplastic Disorders-such as palliative medication in the treatment of leukaemia and lymphomas in adults and acute leukemia in children. Edematous States-to induce diuresis or remission of proteinuria in nephrotic syndrome without uremia, of idiopathic type or due to lupus erythematous. Other Disorders-tuberculous meningitis with blockade or imminence of subarachnoid block, when concomitantly accompanied by appropriate antituberculous chemotherapy.|H|H02|H02A|H02A2
bula6956|Esquizofrenia Latudar é indicada para o tratamento da esquizofrenia. Episódios Depressivos Associados ao Transtorno Bipolar I Monoterapia Latudar é indicada como monoterapia para o tratamento de pacientes com episódios depressivos associados ao transtorno bipolar I depressão bipolar. Terapia Adjuvante Latudar é indicada como terapia adjuvante com lítio ou valproato para o tratamento de pacientes com episódios depressivos associados ao transtorno bipolar I depressão bipolar. A eficácia do uso de lurasidona a longo prazo por mais de 6 semanas, para o tratamento da depressão bipolar, não foi estabelecida em estudos controlados. Entretanto, o médico que receitar o uso a longo prazo de lurasidona deve reavaliar periodicamente sua eficácia em cada paciente.|Schizophrenia Latudar is indicated for the treatment of schizophrenia. Depressive Episodes Associated with bipolar Disorder I Monotherapy Latudar is indicated as monotherapy for the treatment of patients with depressive episodes associated with bipolar disorder I bipolar depression. Adjuvant Therapy Latudar is indicated as adjuvant therapy with lithium or valproate for the treatment of patients with depressive episodes associated with bipolar disorder I bipolar depression. The efficacy of long-term use of lurasidone for more than 6 weeks for the treatment of bipolar depression has not been established in controlled studies. However, the physician who prescribing the long-term use of lurasidone should periodically reevaluate its efficacy in each patient.|N|N05|N05A|N05A1
bula7608|Analgésico, antipirético, obstrução nasal e antialérgico para o tratamento dos sintomas da gripe e do resfriado comum.|Analgesic, antipyretic, nasal obstruction and antiallergic for the treatment of flu and common cold symptoms.|R|R05|R05A|R05A0
bula155|é associada à ribavirina.|is associated with ribavirin.|J|J05|J05D|J05D1
